№ в ГТИБД,Название,Класс,Кол-во комнат,Кол-во спальных мест,Адрес (ручной),Адрес (авто),Город (авто),Район,Округ,Улица,Номер дома,Ближайшее метро,Линия ближайшего метро,Расстояние до ближайшего метро (м),Широта ближайшего метро,Долгота ближайшего метро,Телефоны,Факсы,Официальный сайт,Электронная почта,Примечания,Услуги,Широта объекта,Долгота объекта
12076,АБАЖУР НА ФОНТАНКЕ,мини-отель,7,14,"191180, Санкт-Петербург, наб. реки Фонтанки, 86/2  ","Санкт-Петербург, набережная реки Фонтанки, 86",Санкт-Петербург,Центральный район,,набережная реки Фонтанки,86,Звенигородская,Фрунзенско-Приморская линия,624.0,59.922282,30.335631, +7(812)3158027;,,http://www.abat-jour.ru/,mail@abat-jour.ru,"• завтрак
 • Wi-Fi","Вызов такси
Побудка к определенному времени
Предоставление чайника, утюга, гладильной доски
Предоставление справочной информации о Санкт-Петербурге
Заказ экскурсий, билетов в театры и музеи Санкт-Петербурга и пригородов
Заказ ж/д и авиа- билетов
Хранение ценных вещей в сейфе у администратора
Трансфер от аэропорта или вокзала по предварительной договоренности
Услуги по ксерокопированию, печати документов, отправке почты
Интернет",59.926151,30.331184
12077,АВЕ ЦЕЗАРЬ,мини-отель,30,60,"191186, Санкт-Петербург, Большая Конюшенная ул., 25,","Санкт-Петербург, Большая Конюшенная улица, 25",Санкт-Петербург,Центральный район,,Большая Конюшенная улица,25,Невский Проспект,Московско-Петроградская линия,449.0,59.935579,30.327025,+7(812)3147450 ;,,http://www.avecaesar.ru/,reservation@aveceasar.ru ,"Континентальный завтрак
Бесплатная парковка для автомобиля
Беспроводной интернет WI-FI
Круглосуточный ресепшн","Доставка еды и напитков в номер, Упакованные ланчи, Круглосуточная стойка регистрации, Ускоренная регистрация заезда/отъезда, Камера хранения багажа, Прачечная, Химчистка, Услуги по глажению одежды, Факс/Ксерокопирование, Парикмахерская/Салон красоты, Люкс для новобрачных",59.9374,30.322138
12078,АВЕ ЦЕЗАРЬ,мини-отель,9,18,"191040, Санкт-Петербург, Пушкинская ул., 9","Санкт-Петербург, Центральный район, Пушкинская улица, 9",Санкт-Петербург,Центральный район,,,,Маяковская,Невско-Василеостровская линия,377.0,59.931427,30.355178,+7(812)3141855;,,http://www.avecaesar.ru/,info@cezar-hotel.ru ,"Континентальный завтрак
Бесплатная парковка для автомобиля
Беспроводной интернет WI-FI
Круглосуточный ресепшн","трансфер;  экскурсионное обслуживание  чай, кофе в течение дня;
трансфер;  
визовая поддержка, бесплатная регистрация иностранцев  визовая поддержка, регистрация иностранцев;
 Wi-Fi, факс, заказ театральных билетов;
салон красоты;
прачечная, химчистка;  прокат сейфа;  хранение вещей после расчетного часа до отъезда  ",59.929664,30.356535
12079,АВЕ ЦЕЗАРЬ,мини-отель,8,16,"191025, Санкт-Петербург, Невский пр., 61","Санкт-Петербург, Невский проспект, 61",Санкт-Петербург,Центральный район,,Невский проспект,61,Маяковская,Невско-Василеостровская линия,,59.931427,30.355178,+7(812)7642915;,,http://www.avecaesar.ru/, info@cezar-hotel.ru ,"Континентальный завтрак
Бесплатная парковка для автомобиля
Беспроводной интернет WI-FI
Круглосуточный ресепшн","трансфер;  экскурсионное обслуживание  чай, кофе в течение дня;
трансфер;  
визовая поддержка, бесплатная регистрация иностранцев  визовая поддержка, регистрация иностранцев;
 Wi-Fi, факс, заказ театральных билетов;
салон красоты;
прачечная, химчистка;  прокат сейфа;  хранение вещей после расчетного часа до отъезда",59.931941,30.351953
12080,АВЕ ЦЕЗАРЬ,мини-отель,3,6,"Санкт-Петербург, 2-я линия Васильевского острова, 31, 1-й эт.","Санкт-Петербург, 2-я линия В.О., 31",Санкт-Петербург,Василеостровский район,,2-я линия В.О.,31,Василеостровская,Невско-Василеостровская линия,843.0,59.942516,30.278274, +7(812)3286717;,,http://www.avecaesar.ru/, info@cezar-hotel.ru ,"Континентальный завтрак
Бесплатная парковка для автомобиля
Беспроводной интернет WI-FI
Круглосуточный ресепшн","трансфер;  экскурсионное обслуживание  чай, кофе в течение дня;
трансфер;  
визовая поддержка, бесплатная регистрация иностранцев  визовая поддержка, регистрация иностранцев;
 Wi-Fi, факс, заказ театральных билетов;
салон красоты;
прачечная, химчистка;  прокат сейфа;  хранение вещей после расчетного часа до отъезда",59.943223,30.285712
12081,АВРОРА ПЕТРОГРАДСКАЯ,мини-отель,4,8,"197046, Санкт-Петербург, Малая Посадская ул., 15 ","Санкт-Петербург, Малая Посадская улица, 15",Санкт-Петербург,Василеостровский район,,Малая Посадская улица,15,Горьковская,Московско-Петроградская линия,,59.956156,30.318859, +7(812)2751250;,,http://www.hotel-aurora.ru/,info@hotel-aurora.ru ,"завтрак, кабельное телевидение, Wi-Fi internet, телефон (звонки по Санкт-Петербургу)","Торговый автомат (напитки), Трансфер (за дополнительную плату), Круглосуточная стойка регистрации, Камера хранения багажа, Прачечная, Услуги по глажению одежды, Факс/Ксерокопирование",59.957633,30.328436
12082,АВРОРА ЦЕНТРАЛЬНАЯ,мини-отель,12,24,"191036, Санкт-Петербург, Лиговский пр., 21-б ","Санкт-Петербург, Лиговский проспект, 21Б",Санкт-Петербург,Центральный район,,Лиговский проспект,21Б,Площадь Восстания,Кировско-Выборгская линия,,59.931517,30.360559, +7(812)2751250;,,http://www.hotel-aurora.ru/,info@hotel-aurora.ru ,"завтрак, кабельное телевидение, Wi-Fi internet, телефон (звонки по Санкт-Петербургу)","Торговый автомат (напитки), Трансфер (за дополнительную плату), Круглосуточная стойка регистрации, Камера хранения багажа, Прачечная, Услуги по глажению одежды, Факс/Ксерокопирование",59.935187,30.363173
12083,АЖУР,мини-отель,8,16,"191123, Санкт-Петербург, наб. Робеспьера, 22 ","Санкт-Петербург, Воскресенская набережная, 22",Санкт-Петербург,Центральный район,,Воскресенская набережная,22,Чернышевская,Кировско-Выборгская линия,,59.944436,30.359975, +7(812)2725019;,,http://hotel-ajur@mail.ru,http://www.hotel-ajur.ru/naberejnaya-robespera.html,"завтрак, интернет, парковка, сейф","прачечная, Доставка еды и напитков в номер, Торговый автомат (напитки), Прокат автомобилей, Трансфер (за дополнительную плату), Круглосуточная стойка регистрации, Ускоренная регистрация заезда/отъезда, Экскурсионное бюро, Услуги по продаже билетов, Камера хранения багажа, Индивидуальная регистрация заезда/отъезда, Общий лаунж/гостиная с телевизором, Прачечная, Химчистка, Услуги по глажению одежды, Дневная уборка номера, Факс/Ксерокопирование, Сувенирный магазин, Люкс для новобрачных",59.949596,30.357577
12084,АлександерПлатц,мини-отель,35,70,"192007, Санкт-Петербург, Воронежская ул., 53","Санкт-Петербург, Воронежская улица, 53",Санкт-Петербург,Фрунзенский район,,Воронежская улица,53,Обводный Канал,Фрунзенско-Приморская линия,,59.914583,30.349636,+7(812)4904810;,,http://www.alexanderplatz.eurasia-hotel.ru/,alp-hotel@yandex.ru,"интернет, сейф","Доставка еды и напитков в номер, Трансфер (за дополнительную плату), Трансфер от/до аэропорта (платный), Круглосуточная стойка регистрации, Услуги по продаже билетов, Камера хранения багажа, Прачечная, Услуги по глажению одежды, Конференц-зал/Банкетный зал, Люкс для новобрачных",59.912278,30.345
12085,АМСТЕРДАМ,мини-отель,11,22,"197136, Санкт-Петербург, наб. реки Карповки, 14  ","Санкт-Петербург, набережная реки Карповки, 16",Санкт-Петербург,Петроградский район,,набережная реки Карповки,16,Петроградская,Московско-Петроградская линия,,59.966498,30.31143,+7(812)3475655;,,http://www.amsterdam.eurasia-hotel.ru/,amsterdam@eurasia-hotel.ru ,"завтрак, сейф","Доставка еды и напитков в номер, Трансфер (за дополнительную плату), Трансфер от/до аэропорта (платный), Круглосуточная стойка регистрации, Экскурсионное бюро, Услуги по продаже билетов, Камера хранения багажа, Прачечная, Услуги по глажению одежды",59.96934,30.307729
12086,ДВОРЫ КАПЕЛЛЫ,мини-отель,20,37,"191186, Санкт-Петербург, Большая Конюшенная ул., 11, 2-й двор  ","Санкт-Петербург, Большая Конюшенная улица, 11",Санкт-Петербург,Центральный район,,Большая Конюшенная улица,11,Невский Проспект,Московско-Петроградская линия,,59.935579,30.327025,+7(812)4491790;,,http://www.dk3145010.ru/,hotelyacapella@mail.ru,,прачечная химчистка трансфер экскурсии переводчик/гид,59.939771,30.322695
12087,ДЕМИДОВ МОСТ,мини-отель,20,37,"190000, Санкт-Петербург, наб. канала Грибоедова, 50 ","Санкт-Петербург, набережная канала Грибоедова, 50",Санкт-Петербург,Адмиралтейский,,набережная канала Грибоедова,50,Садовая,Фрунзенско-Приморская линия,,59.926476,30.318213,+7(812)3107221  ;,,,booking@demidov-hotel.com ,,,59.927955,30.315814
12088,ДОМ ВЯЗЕМСКОЙ,мини-отель,6,12,"190031, Санкт-Петербург, Московский пр., 6  ","Санкт-Петербург, Московский проспект, 6",Санкт-Петербург,Адмиралтейский,,Московский проспект,6,Садовая,Фрунзенско-Приморская линия,,59.926476,30.318213,+7(812)6002080;                     89110080099;,,,info@acme-hotel.com ,"Круглосуточная служба приема и размещения
Приглашение для оформления туристической визы в РФ 
Система видеонаблюдения
Чай и кофе бесплатно в холле гостиницы 
Местные телефонные звонки
Услуги горничной
Утренняя побудка
Гладильная доска и утюг (по запросу)
Коллекция DVD фильмов (только в отеле Ermitage на Миллионной, 11)
WI-FI интернет доступ 
Сейф на ресепшене
Варианты завтрака (не во всех отелях)","Регистрация иностранных граждан
Приглашение для оформления деловой \ коммерческой визы в РФ
Аренда конференц-зала в мини-отеле Дом Вяземской
«Карта Гостя Санкт-Петербурга»
«Сити Тур» - обзорная экскурсия
Лучшие музеи с СитиТурПасс
Экскурсии 
Прогулки по рекам и каналам
Индивидуальные экскурсии
Трансфер и транспортные услуги
Прокат автомобилей с\без водителя
Заказ билетов в театры
Бизнес-сервис (ксерокс, факс, копир, email)
Химчистка и прачечная",59.924749,30.318042
12089,ДОМИК В КОЛОМНЕ,мини-отель,10,20,"190121, Санкт-Петербург, наб. канала Грибоедова, 174 ","Санкт-Петербург, набережная канала Грибоедова, 174",Санкт-Петербург,Адмиралтейский,,набережная канала Грибоедова,174,Балтийская,Кировско-Выборгская линия,,59.907149,30.299564,+7(812)7108351;,,http://colomnahotel.ru,info@colomnahotel.ru;  colomna.hotel@gmail.com ,,,59.91821,30.282729
12090,ЕВРАЗИЯ,мини-отель,19,37,"197136, Санкт-Петербург, Гатчинская ул., 5 ","Санкт-Петербург, Гатчинская улица, 5",Санкт-Петербург,Петроградский,,Гатчинская улица,5,Чкаловская,Фрунзенско-Приморская линия,,59.961242,30.291937,+7(812)2304432  ;,,http://eurasia-hotel.ru ,eurasia@eurasia-hotel.ru ,"Комната хранения багажа
Регистрация гостя
Карта города
Заказ авиа, Ж/Д билетов
Заказ билетов в театры, на концерты
Интернет Wi-Fi
Сейф
Вызов такси
Детская кроватка для малышей до 3 лет
Гостевые зонты
Домашняя библиотека
Чай/Кофе
Бесплатные велосипеды","Визовая поддержка
Прачечная
Room service
Трансфер
Организация экскурсий, услуги гида-переводчика
Аудиогид
Кафе",59.961287,30.301827
12091,ЕКАТЕРИНА,мини-отель,27,51,"196600, Санкт-Петербург, Пушкин, Садовая ул., 5-а ","Санкт-Петербург, Пушкин, Садовая улица, 5",Санкт-Петербург,Центральный,,Садовая улица,5,,,1.0,,,+7(812)4668042;,,,hotel_ekaterina@mail.ru ,,,59.717273,30.393995
12092,ЕЛИЗАР-ОТЕЛЬ,мини-отель,40,114,"192029, Санкт-Петербург, пр. Обуховской Обороны, 89-а   Расстояние от отеля до аэропорта ""Пулково"" - 21,7  км. Расстояние от отеля до Центра города - 8,7 км (ст.м. ""Гостиный Двор"")","Санкт-Петербург, проспект Обуховской Обороны, 89А",Санкт-Петербург,Невский,,проспект Обуховской Обороны,89А,Елизаровская,Невско-Василеостровская линия,,59.896644,30.423774,+7(812)3369339;,,http://elizar-hotel.ru,info@elizar-hotel.ru,Расширенный континентальный завтрак; Wi-Fi; Сейфовые ячейки на ресепшене; Парковка на территории; Кабельное телевидение,Кафе;                                   Сауна;                                          Услуги прачечной;                     Вызов такси;                                  Заказ экскурсий;                     Постановка на миграционный учет;                                        Сейфовые ячейки на ресепшене - бесплатно;                               Парковка на территории - бесплатно,59.899112,30.42787
12093,ИМПЕРИЯ ПАРК,мини-отель,36,69,"195009, Санкт-Петербург, ул. Академика Лебедева, 10г  ","Санкт-Петербург, улица Академика Лебедева, 10Г",Санкт-Петербург,Калининский,,улица Академика Лебедева,10Г,Площадь Ленина,Кировско-Выборгская линия,,59.955719,30.355987,+7(812)5421300 ;,,http://empirepark.spb.ru,office@empirepark.spb.ru,"Wi-Fi Интернет
Банковские ячейки
Вызов такси
Заказ авиа- и железнодорожных билетов
Камера хранения багажа
Заказ билетов в театры, кино, на концерты
Уведомление в УФМС","Трансфер
Организация экскурсионной и культурной программы
Услуги гида-переводчика
Визовая поддержка
Услуги прачечной
Бизнес-услуги
Аренда автомобиля
Аренда конференц-зала",59.96148,30.354738
12094,ИНГРИЯ,мини-отель,35,52,"г.Санкт-Петербург, Колпино,
 ул. Вавилова, д.20 

       До аэропорта на автомобиле —          30 мин,
  до центра города на электропоезде  —   40 мин.","Санкт-Петербург, Колпино, улица Вавилова, 20",Санкт-Петербург,Колпинский,,улица Вавилова,20,,,1.0,,,+7(812)3347074;    +7(812)3347072;,,http://ingriahotel.ru,ingria@mail.ru   ,"Wi-Fi,                                              -кабельное телевидение,  -спутниковое телевидение,
-холодильник
-фен","завтрак,
-ресторан (2 зала),
-конференц-зал на 20 человек,
-электронный консьерж,
-деловой центр (компьютер, факс, принтер),
-утюг, гладильная доска,
-сейф,
-электрочайник,
-кулер с холодной и горячей водой на каждом этаже,
-вызов такси,
-камера хранения,
-круглосуточная охрана,
-прачечная,
-салон красоты,
-автопарковка на 30 машин,
-платежные терминалы",59.742846,30.590321
12095,История канал Грибоедова,мини-отель,28,38,"190000, Санкт-Петербург, наб. канала Грибоедова, 101 ","Санкт-Петербург, набережная канала Грибоедова, 101",Санкт-Петербург,Адмиралтейский,,набережная канала Грибоедова,101,Садовая,Фрунзенско-Приморская линия,,59.926476,30.318213,+7(812)3148890;,,http://hotel-history.ru,kg@hotel-history.ru ,"телефон, телефизор, wi-fi","Wi-Fi Интернет
Вызов такси
Камера хранения багажа
Уведомление в УФМС
Комната отдыха
Сейф (у администратора)
Возможность размещения с животными
Номера для некурящих
Номера и предложения для новобрачных
Парковка",59.926873,30.300336
12096,История на Английской набережной,мини-отель,21,32,"190000, Санкт-Петербург, Английская наб., 46","Санкт-Петербург, Английская набережная, 46",Санкт-Петербург,Адмиралтейский,,Английская набережная,46,Василеостровская,Невско-Василеостровская линия,,59.942516,30.278274,+7(812)5719133; (921)8570195;,,http://hotel-history.ru,an@hotel-history.ru ,"телефон, телефизор, wi-fi","Wi-Fi Интернет
Вызов такси
Камера хранения багажа
Уведомление в УФМС
Комната отдыха
Сейф (у администратора)
Возможность размещения с животными
Номера для некурящих
Номера и предложения для новобрачных
Парковка",59.932586,30.288991
12097,КАМЕЯ,мини-отель,46,54,"191180, Санкт-Петербург, наб. реки Фонтанки, 90, корп. 6 ","Санкт-Петербург, набережная реки Фонтанки, 90к6",Санкт-Петербург,Адмиралтейский,,набережная реки Фонтанки,90к6,Звенигородская,Фрунзенско-Приморская линия,,59.922282,30.335631,+7(812)3281515;,,http://cameohotel.ru,info@cameohotel.ru ,"24 часовое обслуживание
Услуги консьержа
Телефон в номере с выходом на городскую линию (звонки из номера в номер и на городские номера Санкт-Петербурга бесплатно)
Высокоскоростной доступ в Интернет Wi-Fi.
Завтрак – Шведский стол (с 07:30 до 11:00)
Бесплатная парковка с видеонаблюдением
Предоставление сейфовых ячеек
Камера хранения","Кафе (разнообразная домашняя кухня)
Круглосуточный бар
Услуги прачечной
Офисные услуги: Распечатка / Сканирование / Копирование
Заказ такси (Заказ такси - БЕСПЛАТНО, оплачивается только стоимость поездки)
Трансфер
Регистрация иностранных граждан
Индивидуальный подбор экскурсионной программы
Заказ и доставка театральных билетов
Бронирование столиков в ресторанах, клубах, барах города
Бронирование и доставка ж/д и авиабилетов",59.924555,30.330484
12098,КРИСТОФФ ОТЕЛЬ,мини-отель,31,62,"191002, Санкт-Петербург, Загородный пр., 9 ","Санкт-Петербург, Загородный проспект, 9",Санкт-Петербург,Центральный,,Загородный проспект,9,Достоевская,Правобережная линия,,59.928185,30.346204,+7(812)7124782;,,http://kristoff.ru,info@kristoff.ru,"— завтрак всегда включен в стоимость проживания («шведский стол»)
— бесплатный доступ в интернет (Wi-Fi ) на всей территории отеля и ресторана
— бесплатное предоставление ноутбука для гостей отеля
— круглосуточные услуги консьержа
— круглосуточная охрана и видеонаблюдение
— зоны отдыха и переговоров, оборудованные ПК.","— камера хранения
— сейфы
— визовая поддержка для гостей
— стирка, глажка
— возможность совместить номера
— офисные услуги (копир, принтер, сканер, международная связь)
— обслуживание в номерах (ресторан Кристофф)",59.927085,30.344057
12099,КРОНВЕРК,мини-отель,26,54,"197198, Санкт-Петербург, ул. Блохина, 9 ","Санкт-Петербург, улица Блохина, 9",Санкт-Петербург,Петроградский,,улица Блохина,9,Спортивная,Фрунзенско-Приморская линия,,59.951871,30.290679,+7(812)7033663;,,http://kronverk.com ,office@kronverk.com ,завтрак,"Круглосуточная стойка регистрации
Крытая отапливаемая парковка
Кафе-бар ""Кронверк""
Стирка и глажка одежды
Побудка
Заказ билетов (авиа, ж/д, театральных)
Заказ такси, организация трансфера
Ксерокопирование документов
Отправка факсимильных сообщений
Бесплатный интернет во всех номерах
На стойке ресепшн есть сейф для хранения Ваших ценностей
Визовая поддержка и постановка на миграционный учет для иностранных граждан
Бизнес услуги
аренда конференц-зала с дополнительным оборудованием (площадью 52,4 кв.м, вместимостью до 40 человек)
Комната для хранения вещей",59.951466,30.302798
12100,ЛИГОТЕЛЬ,мини-отель,32,64,"191040, Санкт-Петербург, Лиговский пр., 55/4  ","Санкт-Петербург, Лиговский проспект, 55/4",Санкт-Петербург,Центральный,,Лиговский проспект,55/4,Площадь Восстания,Кировско-Выборгская линия,,59.931517,30.360559,+7(812)3201155;,,http://ligotel.com,info@ligotel.com," • завтрак
 • Wi-Fi
 • сейф
 • спутниковое телевидение
 • система климат-контроля","•кафе
•гладильная комната
•бесплатный Wi-Fi
•вызов такси и автобусов
•камеры хранения
•доставка цветов
•круглосуточная охрана",59.928897,30.358403
12101,ЛИРА,мини-отель,43,82,"192007, Санкт-Петербург, Днепропетровская ул., 57-а  ","Санкт-Петербург, Днепропетровская улица, 57",Санкт-Петербург,Фрунзенский,,Днепропетровская улица,57,Обводный Канал,Фрунзенско-Приморская линия,,59.914583,30.349636,+7(812)3359101;,,http://lyra-hotel.ru,lyra@lyra-hotel.ru,"Ресторан
Бесплатный WI-FI
Регистрация иностранных граждан - бесплатно
Визовая поддержка
Библиотека (обменный книжный пункт)
Специально оборудованный номер для инвалидов
Охраняемая парковка","Сейфовые ячейки
Бесплатная камера хранения багажа
Заказ авиа и ж/д билетов
Организация экскурсий
Заказ театральных билетов
Предоставление информации о всех городских культурных мероприятиях
Заказ такси, трансфера
Проведение банкетов и конференций",59.912107,30.358035
12102,МАНИФЕСТ,мини-отель,35,73,"191014, Санкт-Петербург, Сапёрный пер., 5 ","Санкт-Петербург, Саперный переулок, 5",Санкт-Петербург,Центральный,,Саперный переулок,5,Чернышевская,Кировско-Выборгская линия,,59.944436,30.359975,+7(812)4954633;  (921) 8562606;,,,hotel.manifest@yandex.ru ,"Охраняемая парковка
Бронирование номеров
Регистрация российских и иностранных граждан в ФМС
Визовая поддержка
Интернет","Заказ авиа и ж/д билетов;
Заказ и доставка цветов;
Услуги прачечной и химчистки;
Комната для хранения багажа;
Заказ театральных билетов и столиков в ресторанах и кафе;
Сувенирный киоск;
Экскурсионное обслуживание;
Трансфер;
Офисные услуги;
Сейф",59.940875,30.356795
12103,МАРМАРА,мини-отель,30,84,"194156, Санкт-Петербург, Новороссийская ул., 26, корп. 2  ","Санкт-Петербург, Новороссийская улица, 26к2",Санкт-Петербург,Выборгский,,Новороссийская улица,26к2,Лесная,Кировско-Выборгская линия,,59.984787,30.344291,+7(812)6701010;,,http://marmara.spb.ru,hotel@marmara.spb.ru,"Оздоровительный центр с тренажерным залом, бассейном и сауной
Комната переговоров на 15 мест
Бизнес-услуги: сканирование, копирование, печать документов и т.д.
Бесплатный беспроводной доступ в Интернет (Wi-Fi)
Круглосуточная служба размещения и информации
Гипермаркет 24ч в 5 мин. ходьбы
Завтрак ""шведский стол"" (включен в стоимость проживания) Визовая поддержка для гостей отеля Индивидуальные сейфы во всех номерах
Халат и тапочки
Набор косметики
Фен в каждом номере
Мини-холодильник
Кондиционер в номере
Ежедневная уборка","Экскурсионное обслуживание
Транспортное обслуживание
Стирка одежды
Камера хранения багажа
Заказ и доставка театральных, авиа и ж/д билетов
Бронирование мест в ресторанах, клубах",59.997172,30.341156
12104,МЕНШИКОВ,мини-отель,20,20,"199155, Санкт-Петербург, Уральская ул., 12","Санкт-Петербург, Уральская улица, 12",Санкт-Петербург,Василеостровский,,Уральская улица,12,Приморская,Невско-Василеостровская линия,,59.948456,30.234633,+7(812)3502728;,,http://menshikov-hotel.ru,info@menshikov-hotel.ru,,"Завтрак
прокат автомобиля
обслуживание в номере
организация экскурсий 
продажа билетов",59.953804,30.258672
12105,НАТАЛИ,мини-отель,47,71,"196601, Санкт-Петербург, Пушкин, Малая ул., 56-а ","Санкт-Петербург, Пушкин, Малая улица, 56А",Санкт-Петербург,Пушкинский,,Малая улица,56А,,,1.0,,,+7(812)4662768; +7(812)4662913;,,http://hotelnatali.ru,mail@hotelnatali.ru,"Посещение СПА зоны (бассейн, финская сауна, турецкая парная, травяная баня, джакузи)
Ежедневная уборка номера и смена полотенец по требованию
Замена постельного белья раз в три дня
Стоянка автотранспорта
Доставка в номер корреспонденции по ее получении","Стирка
Прокат DVD-плейера
организация экскурсий",59.716914,30.408673
12106,Невский Отель Астер,мини-отель,48,56,"191186, Санкт-Петербург, Большая Конюшенная ул., 25  ","Санкт-Петербург, Большая Конюшенная улица, 25",Санкт-Петербург,Адмиралтейский,,Большая Конюшенная улица,25,Невский Проспект,Московско-Петроградская линия,,59.935579,30.327025,+7(812)3147541;,,,info@hon.ru  ,завтрак континентальный расширенный,"трансфер, звонки международные, экскурсии, wi-fi",59.9374,30.322138
12107,Невский Отель Бриз,мини-отель,32,70,"190000, Санкт-Петербург, Галерная ул., 12 ","Санкт-Петербург, Галерная улица, 12",Санкт-Петербург,Адмиралтейский,,Галерная улица,12,Адмиралтейская,Фрунзенско-Приморская линия,1113.0,59.935867,30.31523,+7(812)5701146;,,,info@hon.ru ,"завтрак континентальный расширенный, wi-fi, будильник, заказ такси, заказ экскурсий","прачечная, гладильная  доска",59.934168,30.299312
12108,НИКИТА,мини-отель,16,50,"191119, Санкт-Петербург, Разъезжая ул., 42 ","Санкт-Петербург, Разъезжая улица, 42",Санкт-Петербург,Центральный ,,Разъезжая улица,42,Лиговский Проспект,Правобережная линия,157.0,59.920745,30.35516,+7(812)5723171 ;,,http://hotelnikita.com ,info@hotelnikita.com ,"интернет, будильник, завтрак","заказ билетов, трансфер, рум-сервис",59.921764,30.352986
12109,ОБУХОФФ ОТЕЛЬ,мини-отель,42,84,"192019, Санкт-Петербург, ул. Книпович, 1 ","Санкт-Петербург, улица Книпович, 1",Санкт-Петербург,Невский район,муниципальный округ Невская Застава,улица Книпович,1,Площадь Александра Невского 1,Невско-Василеостровская линия,2043.0,59.924131,30.385595,+7(812)3251675;,,http://obuhoffhotel.ru ,reception@obuhoffhotel.ru ,"завтрак континентальный, интернет","салон красоты, трансфер, регистрация ",59.911475,30.406706
12110,Отель ABRI,мини-отель,8,18,"196641, Санкт-Петербург, пос. Металлострой, Центральная ул., 19 ","Санкт-Петербург, поселок Металлострой, Центральная улица, 19",Санкт-Петербург,Колпинский,,Центральная улица,19,,,1.0,,, +7(812)4648737; +7(812)4648910 ;,,,reservation-abri@mail.ru ," интернет,аптечка на ресепшен, заказ такси","трансфер, швейные принадлежности, утюг, завтрак 250 р",59.811324,30.579622
12111,ПАЛАНТИН,мини-отель,20,25,"190103, Санкт-Петербург, Рижский пр., 4/6 ","Санкт-Петербург, Рижский проспект, 4",Санкт-Петербург,Адмиралтейский район,муниципальный округ Екатерингофский,Рижский проспект,4,Балтийская,Кировско-Выборгская линия,1039.0,59.907149,30.299564, +7(812)6077763;,,http://palantinhotel.ru,info@palantinhotel.ru; reservation@palantinhotel.ru,"Бесплатный WI FI
Визовая поддержка и регистрация иностранных граждан
Бронирование и доставка ж/д и авиабилетов
Вызов такси
Охраняемая парковка гостиницы","Услуги прачечной, химчистки
Копировальные услуги, факс
Комната переговоров на 15 человек - конференц-зал
Получение и отправка электронной почты,Организация экскурсий и заказ театральных билетов
Для молодоженов предоставляется услуга ""Свадебный пакет""
Подарочный сертификат на проживание в Отеле ""Палантин""",59.913785,30.296608
12112,ПЕКИНСКИЙ САД,мини-отель,42,79,"195196, Санкт-Петербург, Таллинская ул., 11-а ","Санкт-Петербург, Таллинская улица, 11",Санкт-Петербург,Красногвардейский,,Таллинская улица,11,Новочеркасская,Правобережная линия,717.0,59.929006,30.41188,+7(812)6032006;,,,sale@hotel-in-spb.ru siola@hotel-in-spb.ru ,"Бесплатный доступ в интернет
Бесплатная парковка, завтрак","организация экскурсий,ресторан, сейф, трансфер,ксерокс,факс,сканер
заказ авиа/ ж/д билетов
заказ такси/трансфера",59.92396,30.414835
12113,ПРЕСТИЖ ОТЕЛЬ ,мини-отель,45,87,"190000, Санкт-Петербург, Гороховая ул., 5  ","Санкт-Петербург, Гороховая улица, 5",Санкт-Петербург,Адмиралтейский,,Гороховая улица,5,Адмиралтейская,Фрунзенско-Приморская линия,328.0,59.935867,30.31523,+7(812)3120405;,,http://prestige-hotels.com ,booking@prestige-hotels.com ,"услуга «будильник»
доставка корреспонденции и факсовых сообщений в номер 
беспроводной Wi- Fi и кабельный интернет бесплатно
утюг, фумигатор, набор для шитья 
звонки по городу Петербург, исключая платные справочные службы 
вызов такси 
вызов скорой помощи ","организация экскурсий,
заказ такси/трансфера,Дополнительная кровать 
Дополнительная уборка номера 
Отправка корреспонденции и факсов 
Дополнительная замена постельного белья и полотенец 
Международные телефонные переговоры 
Аренда автомобиля с водителем
Заказ билетов в театры и концертные залы 
Заказ авиа и железнодорожных билетов 
Встреча и проводы в аэропорт и железнодорожный вокзал
Визовая поддержка
Для иностранных гостей оказываются услуги визовой поддержки и постановки на миграционный учет",59.935651,30.310909
12114,1001 НОЧЬ,мини-отель,13,13,"190068, Санкт-Петербург, Садовая ул., 50-Б8","Санкт-Петербург, Садовая улица, 8",Санкт-Петербург,Адмиралтейский,,Садовая улица,8,Гостиный Двор,Невско-Василеостровская линия,400.0,59.933938,30.333745,+7(965)7724602 моб.;,,,,•Wi-Fi •телевизор с плоским экраном •бесплатные туалетно-косметические принадлежности,"•торговый автомат (напитки),  •услуги по глажению одежды, •факс/ксерокопирование •сауна                               •парковка                                •крытый бассейн",59.937008,30.336592
12115,15-я ЛИНИЯ,мини-отель,8,16,"199178, Санкт-Петербург, 15-я линия, 50-б ","Санкт-Петербург, 15-я линия В.О., 50Б",Санкт-Петербург,Василеостровский,,15-я линия В.О.,50Б,Василеостровская,Невско-Василеостровская линия,919.0,59.942516,30.278274,+7(812)3286226;,,http://15line.spb.ru,info@15line.spb.ru,•завтрак     •ТВ      •телефон  •Wi-Fi ,•пешеходные прогулки •доставка еды и напитков в номер                                     •прокат автомобилей   •парковка                          •трансфер (за дополнительную плату)                                     •камера хранения багажа   •факс/ксерокопирование •услуга «звонок-будильник»         ,59.941858,30.265616
